Sujeto,VP,FP,FN,Recall,Precision
s1,1.0,0.0,1.0,0.5,1.0
s10,1.0,0.0,1.0,0.5,1.0
s11,2.0,0.0,0.0,1.0,1.0
s12,2.0,0.0,0.0,1.0,1.0
s13,2.0,0.0,0.0,1.0,1.0
s14,2.0,0.0,0.0,1.0,1.0
s15,2.0,0.0,0.0,1.0,1.0
s16,2.0,0.0,0.0,1.0,1.0
s17,2.0,0.0,0.0,1.0,1.0
s18,2.0,0.0,0.0,1.0,1.0
s19,2.0,0.0,0.0,1.0,1.0
s2,2.0,0.0,0.0,1.0,1.0
s20,2.0,0.0,0.0,1.0,1.0
s21,2.0,0.0,0.0,1.0,1.0
s22,2.0,0.0,0.0,1.0,1.0
s23,2.0,0.0,0.0,1.0,1.0
s24,2.0,0.0,0.0,1.0,1.0
s25,2.0,1.0,0.0,1.0,0.6666666666666666
s26,2.0,0.0,0.0,1.0,1.0
s27,2.0,0.0,0.0,1.0,1.0
s28,2.0,0.0,0.0,1.0,1.0
s29,2.0,0.0,0.0,1.0,1.0
s3,2.0,0.0,0.0,1.0,1.0
s30,2.0,0.0,0.0,1.0,1.0
s31,1.0,0.0,0.0,1.0,1.0
s32,2.0,0.0,0.0,1.0,1.0
s33,2.0,0.0,0.0,1.0,1.0
s34,2.0,0.0,0.0,1.0,1.0
s35,2.0,0.0,0.0,1.0,1.0
s36,2.0,0.0,0.0,1.0,1.0
s37,2.0,0.0,0.0,1.0,1.0
s38,2.0,0.0,0.0,1.0,1.0
s39,2.0,0.0,0.0,1.0,1.0
s4,2.0,0.0,0.0,1.0,1.0
s40,2.0,0.0,0.0,1.0,1.0
s41,2.0,0.0,0.0,1.0,1.0
s5,2.0,0.0,0.0,1.0,1.0
s6,2.0,0.0,0.0,1.0,1.0
s7,2.0,0.0,0.0,1.0,1.0
s8,2.0,1.0,0.0,1.0,0.6666666666666666
s9,2.0,0.0,0.0,1.0,1.0
Promedio,1.9268292682926829,0.04878048780487805,0.04878048780487805,0.975609756097561,0.983739837398374
